2023-01-22 20:08:05 [background-preinit] INFO  : HV000001: Hibernate Validator 6.2.5.Final
2023-01-22 20:11:39 [http-nio-8080-exec-10] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDlUMTc6NTI6NDQuNzk5ODA4IiwgImp0aSI6ICI3NzUxYzhhZS05MDMxLTExZWQtYjI0Ni05NWFlYzEzMTk0MDIiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.wPZQ4JKzTWdCIZdoKufULIXRjt_Ejnjne3IP8ZjFbxA
2023-01-22 20:11:39 [http-nio-8080-exec-10] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:11:39 [http-nio-8080-exec-10] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:11:39 [http-nio-8080-exec-10] INFO  : [ControllerAdvice] -> handle SoapFaultClientException, details:Invalid token
2023-01-22 20:11:53 [http-nio-8080-exec-2] INFO  : [ArtistsController] -> POST, assignSongsToArtist, uuid:72dc2e44-2d3a-487b-a166-30548b14a793, songs:NewSongsForArtistRequest(songsId=[97])
2023-01-22 20:11:53 [http-nio-8080-exec-2] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6MzA6NDIuNDAyMDYzIiwgImp0aSI6ICJhZmM3ZGUxMC05YTdlLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.CJlIsLW3QNBzPzsO96e2VltuaS-AtAWFv9Ib4cpKoKQ
2023-01-22 20:11:53 [http-nio-8080-exec-2] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:11:53 [http-nio-8080-exec-2] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:11:54 [http-nio-8080-exec-2] INFO  : [AuthService] -> decode SOAP response for authorize
2023-01-22 20:11:54 [http-nio-8080-exec-2] INFO  : [AuthService] -> verify roles
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [SongsController] -> DELETE, deleteSong, songId:88
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6MzA6NDIuNDAyMDYzIiwgImp0aSI6ICJhZmM3ZGUxMC05YTdlLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.CJlIsLW3QNBzPzsO96e2VltuaS-AtAWFv9Ib4cpKoKQ
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [AuthService] -> decode SOAP response for authorize
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [AuthService] -> verify roles
2023-01-22 20:13:39 [http-nio-8080-exec-4] INFO  : [ControllerAdvice] -> handle RuntimeException, details:You are not able to remove this album until you remove all its songs
2023-01-22 20:14:22 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:6, searchBy:null, searchedValue:null, match:null
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [SongsController] -> DELETE, deleteSong, songId:75
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6MzA6NDIuNDAyMDYzIiwgImp0aSI6ICJhZmM3ZGUxMC05YTdlLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.CJlIsLW3QNBzPzsO96e2VltuaS-AtAWFv9Ib4cpKoKQ
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [AuthService] -> decode SOAP response for authorize
2023-01-22 20:14:32 [http-nio-8080-exec-6] INFO  : [AuthService] -> verify roles
2023-01-22 20:19:37 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 20:20:36 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getSongById, songId:89
2023-01-22 20:25:15 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:6, searchBy:null, searchedValue:null, match:null
2023-01-22 20:25:26 [http-nio-8080-exec-3] INFO  : [SongsController] -> PATCH, updateSong, id:74, song:SongForUpdateRequest(name=Normal name for this song, genre=ROCK, year=2019)
2023-01-22 20:25:26 [http-nio-8080-exec-3] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMTFUMjE6MjI6MTguMDc1MjI2IiwgImp0aSI6ICIxMjc0N2IxZS05MWUxLTExZWQtOWQ5ZC1lMzRjOGI3ZDdhZDYiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.cZFgOO8Fiez3YUe_TaL8CtUeMRukMk4s41zyi05FEP4
2023-01-22 20:25:26 [http-nio-8080-exec-3] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:25:26 [http-nio-8080-exec-3] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:25:26 [http-nio-8080-exec-3] INFO  : [ControllerAdvice] -> handle SoapFaultClientException, details:Invalid token
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [SongsController] -> PATCH, updateSong, id:74, song:SongForUpdateRequest(name=Normal name for this song, genre=ROCK, year=2019)
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6NDY6NTUuNTUxNDM3IiwgImp0aSI6ICJmM2QyYWQ5MC05YTgwLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.XmbwLUBqH6m7VO8G7foIZk74I5-tmCl0z8kSsVE14AY
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [AuthService] -> decode SOAP response for authorize
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [AuthService] -> verify roles
2023-01-22 20:25:43 [http-nio-8080-exec-4] INFO  : [CreateValidator] -> validate entity before insertion: SongEntity
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [SongsController] -> PATCH, updateSong, id:74, song:SongForUpdateRequest(name=Normal name for this song, genre=ROC, year=2019)
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6NDY6NTUuNTUxNDM3IiwgImp0aSI6ICJmM2QyYWQ5MC05YTgwLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.XmbwLUBqH6m7VO8G7foIZk74I5-tmCl0z8kSsVE14AY
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [AuthService] -> verify header existence 
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [IDMClient] -> Call IDM module for authorize user
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [AuthService] -> decode SOAP response for authorize
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [AuthService] -> verify roles
2023-01-22 20:26:28 [http-nio-8080-exec-5] INFO  : [ControllerAdvice] -> handle RuntimeException, details:Invalid genre
2023-01-22 20:36:15 [http-nio-8080-exec-7] INFO  : Init duration for springdoc-openapi is: 886 ms
